question	option1	option2	option3	option4	option5	answer
What is a tissue?	A group of similar cells performing same function	A group of different cells performing same function	A single cell performing many functions	Any group of cells	None of the above	A
Division of labour is seen in which organisms?	Unicellular organisms	Multicellular organisms	Bacteria	Protozoa	None of the above	B
Why are most plant supportive tissues dead?	For photosynthesis	To reduce energy requirement	For faster transport	For protection	None of the above	B
Which tissue is responsible for growth in plants?	Permanent tissue	Meristematic tissue	Supporting tissue	Protective tissue	None of the above	B
Which meristem increases the length of roots and stems?	Lateral meristem	Intercalary meristem	Apical meristem	Cambium	None of the above	C
Increase in girth of stem occurs due to?	Apical meristem	Lateral meristem	Intercalary meristem	Parenchyma	None of the above	B
Intercalary meristem is found near?	Root tip	Stem tip	Node	Leaf margin	None of the above	C
Cells of meristematic tissue lack vacuoles because?	They store food	They are dead	They divide actively	They transport water	None of the above	C
Differentiation refers to?	Cell division	Loss of division ability	Cell death	Food storage	None of the above	B
Which is a simple permanent tissue?	Xylem	Phloem	Parenchyma	Vascular bundle	None of the above	C
Which tissue stores food in plants?	Collenchyma	Sclerenchyma	Parenchyma	Epidermis	None of the above	C
Chlorenchyma is specialised for?	Storage	Protection	Photosynthesis	Transport	None of the above	C
Aerenchyma helps aquatic plants in?	Photosynthesis	Respiration	Floatation	Reproduction	None of the above	C
Collenchyma provides?	Transport	Flexibility	Food storage	Conduction	None of the above	B
Cells of collenchyma are?	Dead and thick walled	Living and thickened at corners	Dead and lignified	Living and hollow	None of the above	B
Sclerenchyma cells are?	Living with vacuoles	Dead with lignified walls	Living with chlorophyll	Thin walled	None of the above	B
Husk of coconut is made of?	Parenchyma	Collenchyma	Sclerenchyma	Xylem	None of the above	C
Epidermal tissue function is?	Transport	Photosynthesis	Protection	Storage	None of the above	C
Stomata help in?	Transpiration and gas exchange	Food transport	Water absorption	Support	None of the above	A
Guard cells are?	Rectangular	Circular	Kidney-shaped	Spindle-shaped	None of the above	C
Cork cells are?	Living	Dead with suberin	Living with chlorophyll	Thin walled	None of the above	B
Which tissue transports water?	Phloem	Xylem	Parenchyma	Collenchyma	None of the above	B
Xylem vessels are mainly?	Living	Dead	Tubular and living	Flat cells	None of the above	B
Which tissue transports food?	Xylem	Phloem	Collenchyma	Sclerenchyma	None of the above	B
Which phloem element is dead?	Sieve tube	Companion cell	Phloem fibre	Phloem parenchyma	None of the above	C
Complex tissues are composed of?	One cell type	Two or more cell types	Dead cells only	Living cells only	None of the above	B
Blood is classified as?	Muscular tissue	Epithelial tissue	Connective tissue	Nervous tissue	None of the above	C
Which connective tissue connects bone to bone?	Tendon	Ligament	Cartilage	Areolar	None of the above	B
Which tissue connects muscle to bone?	Ligament	Tendon	Cartilage	Blood	None of the above	B
Which tissue acts as shock absorber?	Bone	Blood	Cartilage	Muscle	None of the above	C
Adipose tissue function is?	Transport	Support	Energy storage	Movement	None of the above	C
Areolar tissue helps in?	Repair and support	Movement	Transport	Protection	None of the above	A
Which tissue is responsible for movement?	Nervous tissue	Epithelial tissue	Muscular tissue	Connective tissue	None of the above	C
Voluntary muscles are?	Smooth muscles	Cardiac muscles	Striated muscles	Unstriated muscles	None of the above	C
Smooth muscles are found in?	Limbs	Heart	Alimentary canal	Bones	None of the above	C
Cardiac muscles are?	Voluntary	Unstriated	Branched and involuntary	Multinucleate	None of the above	C
Which muscle works throughout life?	Striated	Smooth	Cardiac	Skeletal	None of the above	C
Neuron is a unit of?	Muscle tissue	Connective tissue	Nervous tissue	Epithelial tissue	None of the above	C
Axon function is?	Receive impulse	Transmit impulse	Protection	Support	None of the above	B
Dendrites function is to?	Transmit impulse	Receive impulse	Produce hormones	Support	None of the above	B
Nervous tissue helps in?	Support only	Conduction of impulses	Movement only	Protection only	None of the above	B
Basement membrane separates epithelium from?	Air	Blood	Underlying tissue	Bone	None of the above	C
Which epithelium lines blood vessels?	Cuboidal	Columnar	Simple squamous	Stratified squamous	None of the above	C
Skin epithelium is?	Simple squamous	Stratified squamous	Columnar	Cuboidal	None of the above	B
Ciliated epithelium is found in?	Intestine	Respiratory tract	Stomach	Skin	None of the above	B
Glandular epithelium function is?	Protection	Secretion	Transport	Movement	None of the above	B
Which tissue combination enables quick response?	Bone + muscle	Nerve + muscle	Blood + bone	Cartilage + ligament	None of the above	B
A student observes that cutting the root tip of an onion stops further elongation. Which tissue is responsible for this growth?	Apical meristem	Lateral meristem	Intercalary meristem	Parenchyma	None of the above	A
A plant bends easily without breaking when wind blows. Which tissue provides this flexibility?	Sclerenchyma	Collenchyma	Parenchyma	Xylem	None of the above	B
An aquatic plant floats due to large air cavities in its tissues. This tissue is called?	Chlorenchyma	Aerenchyma	Collenchyma	Sclerenchyma	None of the above	B
A coconut husk is very hard and stiff. Which tissue makes it so?	Parenchyma	Collenchyma	Sclerenchyma	Epidermis	None of the above	C
Water transport from roots to leaves occurs through dead tubular cells. Which tissue is involved?	Phloem	Parenchyma	Xylem	Collenchyma	None of the above	C
Food prepared in leaves is transported to other parts of the plant by?	Xylem	Vessels	Phloem	Cambium	None of the above	C
A leaf surface shows small pores that help in transpiration. These pores are controlled by?	Epidermal cells	Guard cells	Cork cells	Root hairs	None of the above	B
The outer bark of an old tree does not allow water loss. This is due to?	Suberin in cork	Lignin in xylem	Cutin in epidermis	Cellulose in phloem	None of the above	A
A student notices that plant cells divide only at certain regions. Which tissue explains this?	Permanent tissue	Meristematic tissue	Complex tissue	Simple tissue	None of the above	B
Which tissue allows rapid movement of arms and legs under conscious control?	Smooth muscle	Cardiac muscle	Striated muscle	Nervous tissue	None of the above	C
The movement of food in the intestine occurs without conscious control. Which muscle is responsible?	Striated muscle	Smooth muscle	Cardiac muscle	Skeletal muscle	None of the above	B
The heart keeps beating rhythmically throughout life. Which muscle tissue makes this possible?	Striated muscle	Smooth muscle	Cardiac muscle	Voluntary muscle	None of the above	C
A cut in skin heals slowly due to repair by connective tissue found below skin. Identify it.	Adipose tissue	Areolar tissue	Bone	Cartilage	None of the above	B
Which tissue connects muscles to bones and has great strength but little flexibility?	Ligament	Tendon	Cartilage	Areolar	None of the above	B
Which tissue connects bones to bones and is elastic?	Tendon	Ligament	Cartilage	Bone	None of the above	B
Fat stored under the skin helps in insulation and energy storage. Which tissue performs this?	Areolar tissue	Blood	Adipose tissue	Cartilage	None of the above	C
Blood helps transport oxygen and nutrients. It is classified as?	Epithelial tissue	Muscular tissue	Connective tissue	Nervous tissue	None of the above	C
The lining of lungs allows fast diffusion of gases due to thin cells. Which epithelium is present?	Cuboidal	Columnar	Simple squamous	Stratified squamous	None of the above	C
The lining of intestine has tall cells for absorption. Which tissue is present?	Cuboidal epithelium	Columnar epithelium	Ciliated epithelium	Glandular epithelium	None of the above	B
A sudden pin prick is felt immediately due to rapid signal transmission. Which tissue enables this?	Muscular tissue	Connective tissue	Nervous tissue	Epithelial tissue	None of the above	C
